"Title","Main Image","Object ID#","Category","Student","Author/Creator","Date","Associated Place","Collection","Held At","Medium","Size","Description","Image Ready for Gibson"
"Dorothy Deming","Main Image","1939-03-4","Images of People","Dorothy Deming/Portrait of","Anson Dickinson (1779-1852)","December 22, 1836","Litchfield, CT ",,"Litchfield Historical Society","watercolor on ivory","3 5/8"" length X 2 1/2"" width","Watercolor on ivory portrait miniature of Dorothy Deming.  Square shape.  Depicts young girl with long brown hair, brown eyes.  Her head is turned slightly to the right and she is wearing a shite scoop neck dress with ruffle and blue shawl.  Simple landscape in background.  Portrait miniature mounted in a plain red leather album case with two brass hinges.  White silk lining on inside of cover. ","Yes"
"Drawing",,"1929-08-1","Related Artwork","Lyman Beecher/Resident of Home; Catharine Esther Beecher/Resident of Home; Charles Beecher/Resident of Home; Eliza Beecher/Resident of Home; Frances Beecher Stanbery/Resident of Home; George Beecher/Resident of Home; Harriet Beecher Stowe/Resident of Home; Henry Ward Beecher/Resident of Home; Mary Beecher Perkins/Resident of Home; William Henry Beecher/Resident of Home","Emily Noyes Vanderpoel (1842-1939)","ca. 1925","Litchfield, CT ",,"Litchfield Historical Society","watercolor and ink on paper","8"" length x 10"" width","Watercolor and ink drawing of the Rev. Lyman Beecher house which was previously located on North St.  (the house no longer stands.)  The image is taken from an angle standing on the north side of the home.  There is a white picket fince in front and trees in the yard.  The house has three stories with a one story extension off of the back of the main house.  Written on the back of the drawing ""On the corner of North and Prospect Sts.  The house in which Rev. Lyman Beecher lived when he preached in Litchfield, Conn.  It was moved by Dr. Henry W. Buel to make part of the group of buildings at Spring Hill [School] about 1876 and is still there in 1928.  There was a room in the attic in which the large end window, arched, was Dr. Beecher's study described by Harriet Beecher in one of her books.  She and Henry Ward Beecher were both born in that house.  Drawing made by E.N. Vanderpoel.""","Yes"
"Drawing",,"1937-08-1","Related Artwork","Lyman Beecher/Resident of Home; Catharine Esther Beecher/Resident of Home; Charles Beecher/Resident of Home; Eliza Beecher/Resident of Home; Frances Beecher Stanbery/Resident of Home; George Beecher/Resident of Home; Harriet Beecher Stowe/Resident of Home; Henry Ward Beecher/Resident of Home; Mary Beecher Perkins/Resident of Home; William Henry Beecher/Resident of Home","George B. Bacon","August 10, 1854","Litchfield, CT ",,"Litchfield Historical Society","pencil on paper","5 3/4"" length x 7 1/2"" width","Pencil sketch of Rev. Lyman Beecher house.  The house is shown from the front.  Fence in front and trees in yard.   Two story house with large pitched roof.  Chimney in center of roof.  Doorway covered by small porch.  Two additional buildings visible on right side of house.  Written at bottom of drawing - ""Sketch of the former residence of/Dr. Lyman Beecher Litchfield.  Sketched by George B. Bacon.""  Dated ""August 10, 1854"" in corner.  Written on back of drawing ""George B. Bacon was a brother of Leonard Woolsey Bacon pastor of First Congregational Church Litchfield and son of Leonard Bacon pastor of Center Church New Haven.  Given to Litchfield Historical Society by Mary Bacon. ","Yes"
"Drawing",,"1957-07-0","Buildings","John Pierce Brace/Resident of Home","Helen Cahill Beckwith (1892-1920)","ca. 1915","Litchfield, CT ",,"Litchfield Historical Society","charcoal on paper","11"" length x 8 1/4"" width","Titled ""The Old Salt Box"" the charcoal drawing depcits John Pierce Brace's house.  Salt box house, set in center of drawing and surrounded by trees.  Out buildings visible to the right side and in background of drawing.  ","Yes"
"Dress",,"1926-01-3","Clothing & Personal Accessories","Lucretia Champion Bacon/Owner",,"ca. 1810",,,"Litchfield Historical Society","cotton",,"White muslin dress; short sleeves; train at end of dress which ends in a point; vertical bands across body of dress - one solid, other open thread work with floral embroidery; high waist; dress ties in back","Yes"
"Dress",,"1966-01-154","Clothing & Personal Accessories","Jane Wadhams Stevens/Owner",,"ca. 1850",,,"Litchfield Historical Society","cotton",,"Dress of printed cotton with repeating design of solid yellow vertical stripe and white stripe with purple and red flowers.  Off the shoulder neckline, short sleeves trimmed with two rows of pleats, front of dress gathered at angles from a wide corded waist band, plain back fastened with hooks and eyes, full skirt (bell shaped) gathered at waist and has two hems","Yes"
"Dress",,"1966-01-2 a,b","Clothing & Personal Accessories","Jane Wadhams Stevens/Owner",,"ca. 1850",,,"Litchfield Historical Society","cotton",,"A: Bodice - Purple cotton with white and purple paisley print; roller print; off the shoulder neckline; long sleeves with three ruffled tiers; hook and eye closures on back; boning sewn into lining; fabric gathere vertically in front and back
B: Skirt - long, full, plain skirt; gathered at waist; new waistband of white linen tape","Yes"
"Dress",,"1971-16-4","Clothing & Personal Accessories","Jerusha Clark Peck/Owner",,"ca. 1850",,,"Litchfield Historical Society","silk",,"Brown taffeta dress with horizontal bands of brown and fine red stripes; round neck with hook and eye closures down the front; full, pagoda style elbow length sleeves open on under side with brown tassels along edge; skirt is full and pleated; bodice lining is off white cotton; skirt lining is brown taffeta","Yes"
"Earrings",,"1907-02-1 a,b","Clothing & Personal Accessories","Elizabeth Canfield Tallmadge/Owner",,"ca. 1830",,,"Litchfield Historical Society","gold, shell","2 3/4"" long","Pair of cameo earrings for pierced ears.  Small round cameo at top in gold setting with large tear drop shaped pendant hanging from base of round cameo.  Set in gold with bright cut decoration.  Top cameo in one earring is profile of woman and pendant in same earring is a profile of a warrior in a helmet.  The other earring has in the top part a profile of a young man and in the pedant in the same earring an image of a woman.  Hinged claps on back of each earring.","Yes"
"Elizabeth Canfield Tallmadge","Main Image","ca1910-01-1","Images of People","Elizabeth Canfield Tallmadge/Portrait of","Anson Dickinson (1779-1852)",1814,"Litchfield, CT ",,"Litchfield Historical Society","watercolor on ivory","3"" length x 2.5"" width","Bust portrait of young woman wearing white low-cut empire dress.  Brown hair, brown eyes.  Grey-blue background.  Gold frame with tiny beading inside lining.  Finial top, strap loop at top.  Back plain with glass convex oval cover for brown lock of hair on woven background.  Tiny beading around glass.","Yes"
"Elizabeth Canfield Tallmadge",,"ca1910-01-3","Images of People","Elizabeth Canfield Tallmadge/Portrait of","William Jared Lane (1798-1867)","ca1815-1820","Litchfield, CT or New York City, NY",,"Litchfield Historical Society","watercolor on ivory","3 3/4"" length x 2 1/4 width x 7/16"" depth","Portrait miniature of Elizabeth Canfield Tallmadge. Watercolor on ivory oval bust portrait of a blue-eyed woman in an empire style blue dress with low cut front, short sleeves, a bow at the waist and a pale blue cloche type hat with a wide brim and creamy yellow ribbon piping decoration. Four prominent ringlets on her forehead escape the hat. Subject faces and glances to her left. Background is white, highlighted with light blue.  The miniature is encased in an oval frame with slip open back made of gilded brass.  A stamped loop tops the frame, which is decorated on the facade with stamped decoration simulating ribbon-bound reeds.  The manufactured front of the frame is made of a strip of metal which is curved into an oval and soldered.  A break in the metal can be seen on the front frame.  Frame is much later than the miniature. Miniature is faced with slightly convex oval glass.  Four heavy rag paper ovals back the ivory, with one faced in black directly on ivory. Ivory is oval with yellowed residue on reverse.  ","Yes"
"Elizabeth Filley",,"1920-01-2","Made by Students","Eunice Filley Newberry/Maker","Eunice Filley Newberry (1811-1869)",1826,"Litchfield, CT or Windsor, CT",,"Litchfield Historical Society","watercolor and pencil on paper","4 1/4"" length x 4 1/2"" width","Watercolor and pencil drawing of a young girl.  Picture has yellow border with swag curtain above girl with brown hair.  She is wearing a yellow and black empire-style dress with black shoes.  She holds a flower chain which goes over neck and right arm.  Green floor.  The image is of Elizabeth Filley a cousin of the artist Eunice Filley Newbury.  ","Yes"
"Elizabeth Prince Childs","Main Image","1949-34-4","Images of People","Elizabeth Prince Childs/Portrait of",,"ca. 1860","Litchfield, CT",,"Litchfield Historical Society","oil on canvas","11 1/2"" length x 9 1/2"" width","Small oval portrait of Elizabeth Prince Child wearing a black dress with a V neckline.  Neckline decorated with lace ruffled trim.  Red shawl wrapped around her shoulders.  She has brown hair parted down the middle, pulled back low over her ears and gathered at bottom of neckline.  Framed in oval wooden frame with carved decoration.  Three dimensional ornament at top of frame.","Yes"
"Emily Webster Ellsworth","Main Image","1963-02-7","Images of People","Emily Webster Ellsworth/Portrait of","Anson Dickinson (1779-1852)",1812,"New York City, NY",,"Litchfield Historical Society","watercolor on ivory","2 7/8"" length x 2 3/8"" width","Oval ivory miniature.  Bust portrait of a young woman facing left.  Brown hair with curls framing her face.  She wears a white mull empire style dress and shawl.   Pale complexion.  The background has a simple landscape.  Incased in an oval gold frame with a beaded inner edge.  On the back side of the frame is a double row of scalloped lines and a beaded edge.","Yes"
"Flora",,"1982-04-1","Made by Students","Lucy Russell Hill/Maker","Lucy Russell Hill (1785-)","1799-1806","Litchfield, CT",,"Litchfield Historical Society","silk on silk","20"" length x 20"" width","Silk embroidered picture of Grecian lady in formal garden.  Sky painted in blue watercolor.  Trees on either side of her.  Undulating ground done in blues and green silk thread with flowers around her feet.  Wavy embroidery line around outside of pictures with some sprigs of flowers coming off of line.  Framed under glass.","Yes"
"Footstool",,"1929-01-2","Furniture","Tapping Reeve/Owner","Silas Cheney (1776-1821)",1812,"Litchfield, CT",,"Litchfield Historical Society","mahogany, horsehair, cotton","8 1/2"" height x 18"" length x 9"" width","One of a pair of mahogany four-legged footstools, oblong shape, outward curved legs.  Reeded handles.  Covered with black horsehair, muslin and webbing showing through.  Dowel construction.  Entry in Silas Cheney's Account book is as follows: ""1812 January 18  / Tapping Reeve Dr.  to 2 Crickets stuft & --- readed legs   hair   6.00""","Yes"
"Footstool",,"1941-11-1","Furniture","Tapping Reeve/Owner","Silas Cheney (1776-1821)",1812,"Litchfield, CT",,"Litchfield Historical Society","mahogany, horsehair, cotton","8 1/2"" height x 18"" length x 9"" width","One of a pair of mahogany four-legged footstools, oblong shape, outward curved legs.  Reeded handles.  Covered with black horsehair, muslin and webbing showing through.  Dowel construction.  Entry in Silas Cheney's Account book is as follows: ""1812 January 18  / Tapping Reeve Dr.  to 2 Crickets stuft & --- readed legs   hair   6.00""","Yes"
"Frederick Augustus Tallmadge",,"1917-03-2","Images of People","Frederick Augustus Tallmadge/Portrait of","Frederick William Herring, (1821-1899)",1858,"New York City, NY",,"Litchfield Historical Society","oil on canvas","43"" length x 37"" width","Oil on canvas portrait, rectangular 1/2 length image of portly middle aged man, seated in red upholstered armchair facing slightly to the left.  Gray hair, side burns and brown eyes. Wearing a black suit, yellow vest, white pleated shirt and black tie. His arm rests on arm of chair, in right hand he holds a folded document: ""Quarterly Report/of the/Dep. Supt. of Police/July 31st/1858""  To the left a table with gray felt cover, two books, one on top ""Laws of New York"" and in open case sitting on top of books is a police badge.","Yes"
"Frederick Augustus Tallmadge",,"1972-05-1","Images of People","Frederick Augustus Tallmadge/Portrait of","John Vanderlyn (1775-1852)",1849,"New York City, NY or Albany, NY",,"Litchfield Historical Society","oil on canvas"," 35"" length x 29"" width","Depicts bust portrait of middle-aged man with ruddy face, dark wavy brown hair and side burns, and blue eyes.  He wears a black dress suit coat, white pleated shirt and black tie.","Yes"
"Frederick Augustus Tallmadge",,"1972-05-2","Images of People","Frederick Augustus Tallmadge/Portrait of","William R. Hamilton (c.1810-1860)",1836,"New York City, NY",,"Litchfield Historical Society","oil on canvas","38"" length x 31"" width","Oil on canvas 3/4 length portrait of a seated middle age male, Frederick A. Tallmadge.   He is seated facing left.  He has black hair, side burns, heavy black eyebrows and blue eyes.  He wears a long black dress coat and double breasted vest, white pleated shirt, high stiff wing collar and black silk tie. He holds a folded piece of paper in his right hand, his left hand and arm rest on the chair arm.","Yes"
"Frederick Augustus Tallmadge","Main Image","ca1910-01-2","Images of People","Frederick Augustus Tallmadge/Portrait of","Anson Dickinson (1779-1852)",1814,"Litchfield, CT",,"Litchfield Historical Society","watercolor on ivory","2 5/8""length x 2 1/4"" width","Bust portrait of young man with long, curly black hair, sideburns, and blue eyes.  He wears a black coat, high collar, white neck tied with small bow, ruffled shirt.  Gold oval frame with glass.  Back has small oval area for lock of hair, but empty.","Yes"
"Frederick Wolcott",,"1963-02-2","Images of People","Frederick Wolcott/Portrait of","Samuel Waldo & William Jewett",1835,"New York City, NY",,"Litchfield Historical Society","oil on canvas","50 1/2"" length x 64"" width","Oil on canvas, three quarter length portrait of Frederick Wolcott. Balding, gray haired male with high forehead.  Wearing a black jacket, vest and pants, white shirt with cravat, watch fob with carnelian stone dangles from waist. Drapery in left background, open window with landscape to right, holds rolled document in right hand, and rests left hand on round table with green felt cover.","Yes"
"Frederick Wolcott","Main Image","2008-08-1","Images of People","Frederick Wolcott/Portrait of","Anson Dickinson (1779-1852)","August 1, 1829","Litchfield, CT",,"Litchfield Historical Society","watercolor on ivory","3 1/2"" length x 2 7/8"" width","Portrait miniature - unframed.  Thin sheet of ivory.  Watercolor of young woman from waist up.  Brown curly hair piled on top of her head.  Light brownish/green eyes, sloped shoulders.  Black dress, wide neckline, rushing across chest, large puffed sleeves, cinched at waist.  Red shawl.
Piece of cardstock glued to back of miniature, torn on one side.","Yes"
"Furniture Suite",,"1929-02-12 a-m","Furniture","Tapping Reeve/Owner","Silas Cheney (1776-1821)","July 16, 1815","Litchfield, CT",,"Litchfield Historical Society","wood, paint","various","Maple seating furniture with rush seats.  Wooden rails are turned to resemble bamboo.  Painted yellow, with gilt and black decoration.  Free hand decoration in gold on seat rail.  Back 3 rows of 3 rails with gilt balls at turnings.  Vase shaped tapered front leg ending in button foot.  Back legs simple tapered.  Round stretcher in front as back.  Two simple stretchers at sides and single in back.  Rush bottom for seat painted white.  A: settee, B-C are arm chairs; D-M are side chairs.  A set of 18 chairs were made by Silas Cheney for Tapping Reeve, July 16, 1815  ","Yes"
"Globe",,"1916-02-4","Teaching Tools",,"William Bardin","ca. 1790","England",,"Litchfield Historical Society","papier-mache,  wood, brass","15 1/2"" high x  17"" width","Papier mache world globe made by William Bardin in England.  Round globe, constructed in curved sections pieced together along seam lines;  Hole at top and bottom with brass rod pushed through.  Arched brass ring around globe allowing it to be spun and turned.  Wooden stand or bass.  Four legs with bulbous feet; diagonal stretchers underneath connecting to ankles of legs.  Top of base round and flag with navigational markings. 
Globe was used by Sarah Pierce at the Litchfield Female Academy.  It was later owned by John Catlin of Northfield who used it as his boarding school.","Yes"
"Gould Family Register",,"ca1900-43-16","Related Artwork","James Gould/Family Member; James Reeve Gould/Family Member","Frances H. De Lee",1846,"Fredonia, NY",,"Litchfield Historical Society","watercolor and ink on paper","12"" length x 9 1/4"" width","Lower left in ink ""Presented by Mrs. Miranda Stowe - 1846""  Probably given by Mrs. Stowe to one of the Gould family members.  
There is a wide scroll in the middle with the Gould's marriages, births and deaths written in pencil.  Around the scroll are moss roses and syringa with weeping willow at the bottom under the deaths.","Yes"
"Grapes",,"1978-04-3","Made by Students","Catharine Bockee Flint/Maker","Catharine Bockee Flint (1811-1843)",1828,"Litchfield, CT",,"Litchfield Historical Society","watercolor on paper","10"" length x 8"" width","Watercolor painting of a bunch of purple grapes; thick stem of grape vine cutting diagonally across picture; grapes hang from stem with smaller curled vines extending upwards; a few leaves attached to stem","Yes"
"Hannah Beach Van Winkle","Main Image","2004-09-7","Images of People","Hannah Beach Van Winkle/Portrait of",,1834,"Litchfield, CT",,"Litchfield Historical Society","watercolor on ivory",,"Portrait of a young white woman with brown hair curled at temples.  Facing forward, wearing an off-the-shoulders black dress with puffy sleeves.","Yes"
"Hop Picking",,"1980-33-2","Made by Students","Lucy Sheldon Beach/Maker","Lucy Sheldon Beach (1788-1889)",1802,"Litchfield, CT",,"Litchfield Historical Society","watercolor on paper","10 3/8"" length x 14 1/2"" width","The watercolor painting depicts the seated figure of a woman in center facing right.  She is dressed in a tan quilted skirt with a blue and white checked apron over a faded blue tunic bodice and dark fichu and high crowned cap.  White stockings and dark shoes with buckles.  A pole entwined with hop vies is in her lap.  She is picking off blossoms and dropping them into a high cylindrical willow basket.  A boy in typical country garb of full sleeved shirt and light knee breeches approaches from right carring a pole also entwined with flowering vines.  Two small girls, one standing and one seated, deposit blossoms in basket to left.  The background is typical English bucolic scene with thatched cottage to right and a post and rail fence running diagonally to it behind the figures.  In center underneath painting ""Hop Picking"" in ink.","Yes"
"James Reeve Gould","Main Image","1919-04-2","Images of People","James Reeve Gould/Portrait of",,"September 19, 1823","Litchfield, CT",,"Litchfield Historical Society","watercolor on ivory","3 3/16"" length x 2 5/8"" width","Portrait miniature of man with longer brown hair, sideburns and blue eyes.  He wears a black coat with high collar, wide lapels, and puffed sleeves. Tan stippled    background, shading to brown.  Frame:  heavily enameled in black, the whole mounted in box covered with blue velvet.  Written on back of miniature in pencil ""James Gould/New York/Sept 19th, 1823"" ","Yes"
"Jane Conard Wolcott","Main Image","2006-05-2","Images of People","Jane Conard Wolcott/Portrait of",,"ca. 1820","New York City, NY",,"Litchfield Historical Society","Oil on canvas","35"" length x 30 1/2"" width","Head and torso of Jane C. Wolcott.  Young woman (probably in her 20s) wearing a long sleeve, empire styel light purple dress with ruffled white collar.  Brown hair which is curled around face and braided on top of her head.  Greek pillar in background.  Sitting sideways in a chair with arm bent over arm rest.  Background a brownish color.","Yes"
"Julius Deming","Main Image","1939-03-6","Images of People","Julius Deming/Portrait of","Anson Dickinson (1779-1852)","November 16-19, 1825","Litchfield, CT",,"Litchfield Historical Society","watercolor on ivory","3 3/4"" length x 3 1/4"" width","Watercolor miniature on ivory of Julius Deming.  Bust portrait of older man wearing black coat, white stock.  Greying hair, brown eyes. Facing front right. Blue/beige background. Plain red leather album case with 2 hooks. White silk lining, velvet binder.","Yes"
"Julius Deming",,"2003-50-3","Images of People","Julius Deming/Portrait of",,"ca. 1890-1920","Litchfield, CT",,"Litchfield Historical Society","oil on canvas","34 3/4"" length x 29 1/4"" width","Oil on canvas.  The painting is a copy of the portrait miniature of Julius Deming done by Anson Dickinson.  The subject is centered in the compostion wearing a dark coat with a white lace cravat.  The background is a non-descript with shades of gray, off white and pink.  He is an older man","Yes"
"Landscape Painting",,"1955-20-1","Made by Students","Almira Collins Giddings/Maker","Almira Collins Giddings (1790-1849 or 1872)","ca. 1835","St. Louis, MO",,"Litchfield Historical Society","oil on canvas","32 1/4"" length x 25 1/2"" width","Oil on canvas landscape painting of a distant city on a hill, waterfall with arched bridge, lake and mountains on the right.  In foreground a stream runs to left from lake in middle distance.  On left is a stone arch and tower with a turbulant stream.  In back a high hill atop of which is a castle.  Tall trees in center.  Off to right a city on a lake, and in distance, mountains.  Cows in forefront. In a molded gilt frame with cast leaves on edge.","Yes"
"Landscape Painting",,"1955-20-2","Made by Students","Almira Collins Giddings/Maker","Almira Collins Giddings (1790-1849 or 1872)","ca. 1820-1830","St. Louis, MO",,"Litchfield Historical Society","pastel and watercolor on paper","25 3/4"" length x 19"" width","On the right is a 3-tiered fountain; on the left is a Roman aquaduct behind which is a composite architectural wonder city, mostly classical buildings and towers.  In forground is a sated beggar (or saint) in a floppy tent being interviewed by a bearded general in a chiton and blue cape with his legions in standing formation in back of him in long column.   Frame is light molding with narrow border of acanthus leaves molded on inner edge, covered with gold leaf.","Yes"
"Landscape Painting",,"1955-20-3","Made by Students","Almira Collins Giddings/Maker","Almira Collins Giddings (1790-1849 or 1872)","ca. 1835","St. Louis, MO",,"Litchfield Historical Society","oil on canvas","29"" length x 23"" width","Oil on canvas landscape scene of wooded lake shore with stream entering from left, over which is a bridge leading to a one story house on the shoreline. Small boat in foreground and a man spreading a sail on shore. Row boat on right with two people.  The house has a high roof with what looks like dormers.  The front has a door, two windows on right, one on left and it seems to be half timber construction.  Frame of carved hickory with gold inset band.","Yes"
