"Title","Accession #","Category","Associated People","Associated Place(s)","Creator(s)","Date","Collection","Held At","Medium","Size","Description","URL","Associated Files","Transcription Files"
"Charlotte Hopper Newcomb Benedict Journal","2001-20-0","Journals & Friendship Albums","Charlotte Newcomb Benedict","Litchfield, Connecticut","Charlotte Newcomb Benedict","circa 1810","Litchfield Female Academy collection","Litchfield Historical Society",,"1 bound volume","Journal kept by Benedict while she was a student at the Female Academy.  Contains details about her schoolwork and a needlework piece she was creating as well as information about her studies and religious activities.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/controlcard&id=2",,"2001-20-0.pdf"
"Harriet Lucretia Grant Diploma","1914-15-37","Diplomas, Certificates & Catalogs","Harriet Lucretia Grant","Litchfield, Connecticut","Litchfield Female Academy","between 1829-1831","Litchfield Female Academy collection","Litchfield Historical Society",,"1 Item","Diploma printed on silk engraved by Oliver Pelton.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=2","1914-15-37.jpg","1914-15-37.txt"
"Mary Teresa Buel Diploma","8717","Diplomas, Certificates & Catalogs","Mary Teresa Buel","Litchfield, Connecticut","Litchfield Female Academy","between 1826-1831","Litchfield Female Academy collection","Litchfield Historical Society",,"1 Item","Diploma printed on silk engraved by Oliver Pelton.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=2","8717.jpg","8717.txt"
"Celeste Parmalee Diploma","8718","Diplomas, Certificates & Catalogs","Celeste Parmalee","Litchfield, Connecticut","Litchfield Female Academy","between 1822-1829","Litchfield Female Academy collection","Litchfield Historical Society",,"1 Item","Diploma printed on silk engraved by Oliver Pelton.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=2","8718.jpg","8718.txt"
"Amelia Seymour Sanford Diploma","1890-07-2b","Diplomas, Certificates & Catalogs","Amelia Seymour Sanford","Litchfield, Connecticut","Litchfield Female Academy","between 1821-1827","Litchfield Female Academy collection","Litchfield Historical Society",,"1 Item","Diploma printed on silk engraved by Oliver Pelton.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=2","1890-07-2b.jpg","1890-07-2b.txt"
"Maria Seymour Sanford","2780","Diplomas, Certificates & Catalogs","Maria Seymour Sanford ","Litchfield, Connecticut","Litchfield Female Academy","between 1824-1830","Litchfield Female Academy collection","Litchfield Historical Society",,"1  item","Diploma printed on silk engraved by Oliver Pelton.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=2","2780.jpg","2780.txt"
"Samuel Beckley receipt","2009-119-0","Other","Seth Preston Beers","Litchfield, Connecticut; New Canaan, Connecticut",,"1814 Jan 15","Small acquisitions","Litchfield Historical Society",,"1 item","A printed receipt made out to Samuel Beckley of Canaan, Litchfield County, Connecticut to certify that he paid a duty of two dollars for a four wheel carriage for the year 1814. Signed by Seth P. Beers, Collector of the Revenue for the first Collection District of Connecticut.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=162",,
"Beckwith Family collection","1988-01-0","Collections of Papers","Jane Seymour Beckwith; Delia Storrs Seymour","Litchfield, Connecticut","Josiah Beckwith","1767-1972","Beckwith Family collection","Litchfield Historical Society",,"15 linear feet","The Beckwith Family Collection (1988-01-0) consists of correspondence, financial records, legal documents, military records, diaries, photographs, and other records.

Dr. Josiah Gale Beckwith (1803-1871) was born in Standford, N. Y. After graduating from Union College, he studied medicine at the Albany Medical College and settled in Litchfield in 1829. He married Jane Maria Seymour (1811-1868) in 1831 and they had five children: Jane (1833-1837), Elizabeth (1835-1896), Josiah (1838-1911), Sarah (1840-1928), and George (1841-1890). Jane Seymour (1811-1868) was a daughter of Moses Seymour Jr. (1774-1826) of Litchfield. Dr. and Mrs. Beckwith resided in the house Mrs. Beckwith's father built in 1817 on South St. The house was occupied by succeeding generations of Beckwiths. Dr. Beckwith was a successful practitioner, officer of the state medical society, nominated for governor, and elected to the state legislature several times. He operated a drug store, invested in a variety of business interests, and served as an officer of several prominent local institutions, including terms as president of the Phoenix Bank and Litchfield Mutual Fire Insurance Co.

A son of Dr. Beckwith, Dr. Josiah Gale Beckwith (1838-1911) was born in Litchfield. He attended the U.S. Naval Academy for two years until resigning in 1855. He attended Union College, leaving in 1860, and also attended the Yale University Medical School in 1861 and 1862. In 1862, he volunteered with a local military company, but appears not to have served as a soldier during the Civil War. He was at the Knight United States Army General Hospital in New Haven for a time starting in 1862. He practiced medicine at Charlton, N.Y. from 1866 through 1869 and then returned to Litchfield. After his father's death in 1871, he took over the family drug store and continued with his medical practice. He married Anne Bonfield Alsop (Allsopp) (1851-1936) of Quebec, Canada, in 1873. They had three children: Josiah (1874-1957), Margaret (1885-1972), and Sutherland (1890-1986).

Josiah Gale Beckwith (1874-1957) was alternatively referred to in various combinations of Josiah Gale Beckwith Jr., J. Gale Beckwith, and Gael Beckwith. He was born in Litchfield and attended Union College and Albany Law School. He was briefly a lawyer in Waterbury in the early 1900s. In the 1910s he worked in New Jersey and Georgia and later moved to Minneapolis and St. Petersburg, Fla., where he died in an automobile accident.

Sutherland Alsop Beckwith (1890-1982) was born in Litchfield. He graduated from the Sheffield Scientific School of Yale University in 1915. He fought in the 1916 Mexican border conflict, WWI, and WWII. His military career spanned 35 years and he retired as a colonel. During the 1920s, he was involved in a lumber business operating under the name of Hubbard & Beckwith. Beckwith was a state adjutant general, a sheriff of Litchfield County, and a local director of the Works Progress Administration. For 10 years he served as Litchfield postmaster. He married Helen Cahill in 1925. After she died in 1929, he married Charlotte Louise Coopernail (1904-1986), daughter of Dr. George Coopernail (1876-1964), on July 30, 1932. They had three children: Ann (1934- ), Margaret (1936- ) and George (1938- ).

The Beckwith Family Collection contains a range of materials that relate to many of the family's activities. A small group of papers predates those of the Beckwith family. At present, only materials created prior to 1840, a limited selection of post-1840 materials, and those that relate to Josiah Beckwith (1803-1871) have been processed. They are arranged in three series.

Series 1, Papers (1767-1892), contains a collection of primarily legal and financial records which appear to have no direct connection to the Beckwith family.

Series 2, Beckwith family papers (1825-1871), primarily contains papers relating to Dr. Beckwith. Of note is his correspondence with his brother George in which he discusses business dealings and events of the day, his account books documenting the certificates of exemption he granted during the Civil War in 1862, records relating to business affairs, and his medical and drugstore ledgers. Also included in Series 2 are early records related to the Alsop (Allsopp) family.

Series 3, Seymour family papers (1814-1886), contains a small group of materials that relate to Jane Seymour Beckwith, her mother, Mabel Strong Seymour; her father, Moses Seymour Jr.; and her sister Delia Seymour.

A collection of bills, circa 1870-1920, directed to the Beckwith family arranged alphabetically by sender documents the types of goods and services offered by Litchfield county businesses and institutions and the consumption habits of the Beckwiths.

The unprocessed portion of the collection consists of about 15 cubic feet. Generally, it includes correspondence, account and ledger books, diaries and notebooks, photographs, architectural drawings and records related to the Beckwith Block, and other materials. The papers primarily document the second Dr. Beckwith, including his ledgers and account books, Ann Alsop Beckwith, Charlotte Coopernail Beckwith, Sutherland Beckwith, J. Gale Beckwith, and Margaret Beckwith (1885-1972, born in Litchfield, and who enjoyed a long career as a teacher). Other papers, to a lesser extent, relate to other Beckwith family members. There is also material that relates to members of the Seymour family, including George Seymour and Henry Seymour.

The collection also contains extensive genealogical information and family papers compiled by Dr. George Coopernail. A prominent physician in Bedford, N.Y., Coopernail was Sutherland Beckwith's father-in-law. After retiring, he moved to Litchfield and died there in 1964. He took an active interest in both his and the Beckwith lines. Among his papers are a series of albums containing family photographs.

Item level description of some records is available in the Society’s card catalog","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=128",,
"Asa Bacon letters","2010-150-0","Collections of Papers","Asa Bacon","Litchfield, Connecticut; Hebron, Connecticut","Asa Bacon",1850,"Small acquisitions","Litchfield Historical Society",,"2 items","Two letters from Asa Bacon of Litchfield, Conn., to his cousin, Peyton Randolph Gilbert of Hebron, Conn., primarily relating to the deaths of Bacon's three sons.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=429",,
"Catharine Beecher poem","1951-24-0","Other","Catharine Esther Beecher; Elizabeth Burr Mason; Stephen Mason","Litchfield, Connecticut","Catherine Esther Beecher",1843,"Small acquisitions","Litchfield Historical Society",,"1 Item","A poem written by Miss Catherine Beecher titled ""The Classical Wedding of Betsey Burr and Stephen Mason, 1816""","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=70",,
"Lyman Beecher papers","2009-120-0","Collections of Papers","Lyman Beecher; Tapping Reeve; Benjamin Tallmadge; Luke Lewis; John Russel Landon; Roxana Foote Beecher; Oliver Wolcott; Daniel Sheldon; Frederick Wolcott; Jabez Williams Huntington; Uriel Holmes; Sally Burr Reeve; Silas E. Cheney; Moses Seymour; Benjamin Franklin Langdon; Caroline Landon Langdon; Oliver Stoughton Wolcott; Jane Conard Wolcott; James Kane Livingston; Charlotte Landon Livingston; Richard Wayne Stites; Elizabeth Cooke Stites","Litchfield, Connecticut","Lyman Beecher","1816-1825","Lyman Beecher papers","Litchfield Historical Society",,"2 folders","Subscriptions raised to relieve the debts of Reverend Lyman Beecher, minister of the first Ecclesiastical Society in Litchfield after the death of his wife, Roxana Foote.  Includes a list of subscribers, Luke Lewis, Agent; Tapping Reeve & Benjamin Tallmadge, recorders; list of persons owed; instrument of conditions.      Records of some of the marriages performed by Rev. Lyman Beecher between 1820 and 1823 including Litchfield Female Academy students who married Litchfield Law School Students Benjamin F. Langdon to Caroline Holmes Landon; Oliver Stoughton Wolcott to Jane Conard Wolcott; James Kane Livingston to Charlotte Landon Livingston; Richard Wayne Stites to Elizabeth Cooke Stites.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=220",,
"John Bissell commissioner of deeds appointments","2010-153-0","Collections of Papers","John Bissell",,,"1836-1878","John Bissell commissioner of deed appointments","Litchfield Historical Society",,"1 folder","Appointments by governors of John Bissell to serve as commissioner of deeds in various states, 1836-1878.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=433",,
"Aaron Burr letter","2010-63-0","Correspondence","Aaron Burr","New York, New York; Albany, New York","Aaron Burr","17 May 1820","Small acquisitions","Litchfield Historical Society",,"1 item","Letter from Aaron Burr in New York to George Marsh in Albany regarding business arrangements and George Marsh's good fortune in Albany.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=118",,
"Judson Canfield papers","1985-24-0","Collections of Papers","Judson Canfield; Mabel Ruggles Canfield; Julia Canfield Flewwelling; Elizabeth Canfield Tallmadge; Caroline Canfield Mackay; Frederick Augustus Tallmadge","New Milford, Connecticut; Litchfield, Connecticut; Canfield, Ohio; New York, New York","Judson Canfield","1760-1856","Judson Canfield papers","Litchfield Historical Society",,"0.21 linear feet","The papers of Judson Canfield (1759-1840), consisting primarily of legal documents, including agreements, deeds, executions, receipts, statements, and correspondence. The papers also include a small collection of correspondence and writings relating to Walter Ferriss, whose daughter married Canfield's son.

Judson Canfield was born in New Milford, Connecticut, January 23, 1759. He was a son of Col. Samuel Canfield (1725-1799), an officer in the Revolutionary army and a member of the Connecticut state legislature, and Elizabeth Judson. Judson Canfield was educated at Yale College, graduating in 1782. His uncle, John Canfield, the first lawyer in Sharon, Conn., died in 1786, and Judson then moved to Sharon and established a successful law practice. Many of his clients conducted business or resided in Dutchess County, New York.

In 1796, Canfield purchased land in the Western Reserve (later Ohio) from the Connecticut Land Co. His holdings would eventually total thousands of acres, including property in present-day Bainbridge, Canfield (which was named for him in 1800), Cleveland, Medina, Newton, and Newton Falls.

Canfield was elected to the Connecticut General Assembly from 1802 to 1809 and elected a State Senator from 1810 to 1815. From 1808 to 1815, he was also an associate judge of the county court for the county of Litchfield. In 1815, he moved to Ohio, devoting himself mainly to farming and disposing of his properties. He died February 5, 1840 in New York City.

In 1786, he married Mabel Ruggles (1761-1844). Their children were Henry Judson, Julia Elvira, Elizabeth Hannah, and Caroline Emma. Henry J. Canfield (1789-1856), graduated from Yale College in 1806, studied at the Litchfield Law School in 1808, and was admitted to the bar in 1810. He moved to Canfield, where he practiced law, farmed, raised sheep, and managed his father's land holdings. In 1825, he married Sally Ruth Ferris ( -1881), the daughter of Walter Ferriss (1768-1806) and Sarah (Sally) Morgan Ferriss (1772-1850). They had two children, Julia Elvira Canfield Ruggles (1826-1857) and Judson Walter Canfield. Walter Ferriss, from Oblong, Dutchess County, N.Y., moved to Charlotte, Vt., in 1792. At first, he concentrated on farming, but in the later 1790s he became a Universalist minister and organized several societies in the vicinity. He was appointed to the Committee of the General Convention in Strafford, Vermont, in 1802. In 1803, Ferris attended the Winchester Convention in New Hampshire as a representative from Hinesburg, Vermont.

All three of Judson and Mabel Ruggles Canfield's daughters attended the Litchfield Female Academy. Julia Elvira (1791-1868) married Samuel Flewwelling of New York City, a prominent banker who purchased land in Ohio from Judson Canfield, members of his family, and others. Elizabeth Hannah (1793-1878) married Frederick Augustus Tallmadge (1784-1869) of Litchfield, son of Col. Benjamin Tallmadge. Frederick was a prominent lawyer in New York City and held elective office. Caroline Emma (1798-1872) married William Mackay of New York City, a New York City commission merchant. William Mackay and Julia Canfield Flewwelling were executors of Judson Canfield's will.

Herman Canfield, brother of Judson Canfield, married Fetia Bostwick. In October, 1805, they settled in Canfield, Ohio.

The papers are arranged in two series. Series 1, Judson Canfield papers, primarily consists of documents related to Canfield's law practice. Most involve matters in and around Sharon, Conn., but there are several documents pertaining to land sales in Ohio. There is an interesting letter from Canfield's niece to her mother in which she describes a party she attended, what she and others wore; and news of her relatives in New York and Nyack, including the Bostwick, Flewwelling, Mackay, Ruggles, and Tallmadge families. Series 2, Walter Ferriss papers, includes two documents relating to his affections for his future wife and letters concerning his religious activities, including a letter he wrote to Universalist minister James Babbitt to explain why Ferriss is unable to comply with Babbitt's pressing invitation to him to go to Essex, Vt.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=275",,
"Leman Church letter of recommendation","2009-105-0","Correspondence","Leman Church; Asa Bacon; David Sherman Boardman; Jabez Williams Huntington; ","Litchfield, Connecticut; Canaan, Connecticut","David Sherman Boardman; Asa Bacon; Jabez Williams Huntington","1818 Aug 20","Small acquisitions","Litchfield Historical Society",,"1 item","A letter to the Litchfield County Superior Court from David Sherman Boardman, Asa Bacon, Jr. and Jabez W. Huntington, committee appointed by the Court, in which they recommend that Leman Church of Canaan be admitted to practice as an attorney & counselor of the Court. Church attended the Litchfield Law School in 1815.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=154",,
"George Younglove Cutler album","2009-28-0","Journals & Friendship Albums","George Younglove Cutler","Litchfield, Connecticut","George Younglove Cutler","1819-1820","Small acquisitions","Litchfield Historical Society",,"1 bound volume","Newspaper clippings mostly from the Litchfield Republican and poems written by George Younglove Cutler in Litchfield in 1820.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=131",,
"United States. Declaration of Independence engraving","2010-82-0","Diplomas, Certificates & Catalogs",,,"Charles Tappan",1829,"Small acquisitions","Litchfield Historical Society",,"1 item","Steel engraving of the Declaration of Independence by Charles Tappan, Philadelphia in 1829. Notes and changes in the handwriting of Dr. Franklin and Mr. Adams.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=265",,
