"Primary Name","Other Names","Maiden Name","Spouse's Name","Gender","Hometown ","Hometown - State","Spouse's Hometown","Spouse's Hometown - State","Spouse's Education","Spouse's Occupation","Marriage Date","Second Marriage","Other Education","Profession/           Career","Benevolent and Charitable Organizations","Later Residence - Town","Later Residence - State","Year Born","Year Died","Father's Name","Father's Birth and Death Dates","Father's Education","Father's Occupation","Mother's Name","Mother's Birth and Death Dates","Biographical Information","Image and Location","Archival Material and Location","Artifacts and Location","Secondary Sources","Additional Notes"
"Selleck Osborn","Selick Osborn; Silleck Osborn",,"Mary Hammond Osborn","Male","Trumbull","CT","New Bedford","MA",,,1810,,,"Editor; Military; Poet",,"Sag Harbor; Danbury; Litchfield; Bennington; Wilmington; Philadelphia","NY; CT; CT; VT; DE; PA",1793,1826,"Nathaniel Osborn",,,"Military","Elizabeth Hawly Osborn",,"Selleck Osborn was a Republican newspaper editor and poet.  He came to Litchfield from Danbury in 1805 and began publication of the Witness that year.  He was sued for libel and imprisoned for refusing to pay his bond.  He continued publishing from prison, and newspapers around the country printed accounts of his suffering at the hands of the Federalists.  He was honored by his party as a martyr at the ""Litchfield Festival"" on August 6, 1806.  John C. Calhoun, then a student at the Litchfield Law School, wrote articles on Osborn's behalf.  Osborn would later use his position to campaign for Calhoun's presidential canidacy. In 1807 Osborn discontinued the Witnessand moved to Boston.  ",,,,,
"Elihu Hubbard Smith",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mary Pierce",,,,"Female",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lyman Beecher",,,,"Male",,,,,,,,,,"Religious Calling",,,,1775,1863,,,,,,,"A Presbyterian clergyman, Lyman Beecher (1775-1863) was one of the outstanding American preachers and revivalists before the Civil War. He achieved national fame as reformer, educator, and central figure in theological controversies.

Lyman Beecher was born on Oct. 12, 1775, at New Haven, Conn. Son of a blacksmith, he was raised on a farm. Beecher entered Yale in 1793. The college president, Timothy Dwight, greatly influenced his religious beliefs and enthusiasm for revivalism. In 1799 he was ordained as pastor of the Presbyterian Church at East Hampton, Long Island, N. Y. Dynamic preaching and a published sermon against dueling earned him a modest reputation, and in 1810 he accepted the more prestigious pulpit of the Congregational Church of Litchfield, Conn.

For 16 years at Litchfield he attracted large crowds, and his influence extended beyond his own congregation. Persons warmed by his revivals were urged to support a growing list of voluntary societies and moral reforms, especially temperance. His defense of orthodox Christianity against Unitarianism in Connecticut was noted by church leaders, and he was invited to move to Boston, where he could be even more effective in that cause.

In 1826 Beecher became pastor of the Hanover Street Church of Boston. His efforts again resulted in spiritual awakening, and his reputation for defending orthodoxy against Unitarianism became widespread. During his years in Boston he edited a monthly, the Spirit of the Pilgrims. A fear of Catholicism began to emerge and led him to share in the nativist attack on that faith.

When he was invited to return to Presbyterianism to become the president and professor of theology of the new Lane Theological Seminary at Cincinnati, Ohio, his concern to Christianize the West and educate ministers for that task was linked to his desire to counteract growing Catholic influence in the Ohio Valley. The sense of purpose he felt in moving to Cincinnati in 1832 was well expressed in his A Plea for the West (1835). Until 1843 he also served as pastor of the Second Presbyterian Church there.

Despite his incentive and characteristic vigor, Beecher's years at Cincinnati were an unhappy climax to his career. A disruptive debate over slavery in 1834 so divided students and faculty that it took years for Lane Seminary to recover. Although he favored the antislavery cause, Beecher was not an abolitionist and preferred gradual emancipation. With strange irony in 1835 he was tried twice for heresy by conservative Presbyterians who found his orthodoxy too liberal. A trial by the Presbyterian General Assembly was avoided, but his position had contributed to a major schism in that denomination by 1838. Beecher remained at Lane until 1850. The last years of his life were spent in Brooklyn, N.Y., where he died on Jan. 10, 1863.",,,,,
"Silas Cheney",,,,"Male",,,,,,,,,,"Other",,,,,,,,,,,,,,,,,
"Daniel Huntington",,,,"Male",,,,,,,,,,"Religious Calling",,,,,,,,,,,,,,,,,
"Judson Canfield",,,"Mabel Ruggles Canfield","Male","Sharon","CT",,,,,,,,"Lawyer; ",,"Canfield; New York","OH; NY",1759,1840,"Samuel Canfield","1725-1799",,"Military; Political Office","Elizabeth Judson Canfield",,"Judson Canfield was born in New Milford, Connecticut, January 23, 1759. He was a son of Col. Samuel Canfield (1725-1799), an officer in the Revolutionary army and a member of the Connecticut state legislature, and Elizabeth Judson. Judson Canfield was educated at Yale College, graduating in 1782. His uncle, John Canfield, the first lawyer in Sharon, Conn., died in 1786, and Judson then moved to Sharon and established a successful law practice. Many of his clients conducted business or resided in Dutchess County, New York.

In 1796, Canfield purchased land in the Western Reserve (later Ohio) from the Connecticut Land Co. His holdings would eventually total thousands of acres, including property in present-day Bainbridge, Canfield (which was named for him in 1800), Cleveland, Medina, Newton, and Newton Falls.

Canfield was elected to the Connecticut General Assembly from 1802 to 1809 and elected a State Senator from 1810 to 1815. From 1808 to 1815, he was also an associate judge of the county court for the county of Litchfield. In 1815, he moved to Ohio, devoting himself mainly to farming and disposing of his properties. He died February 5, 1840 in New York City.

In 1786, he married Mabel Ruggles (1761-1844). Their children were Henry Judson, Julia Elvira, Elizabeth Hannah, and Caroline Emma. Henry J. Canfield (1789-1856), graduated from Yale College in 1806, studied at the Litchfield Law School in 1808, and was admitted to the bar in 1810. He moved to Canfield, where he practiced law, farmed, raised sheep, and managed his father's land holdings. In 1825, he married Sally Ruth Ferris ( -1881), the daughter of Walter Ferriss (1768-1806) and Sarah (Sally) Morgan Ferriss (1772-1850). They had two children, Julia Elvira Canfield Ruggles (1826-1857) and Judson Walter Canfield. Walter Ferriss, from Oblong, Dutchess County, N.Y., moved to Charlotte, Vt., in 1792. At first, he concentrated on farming, but in the later 1790s he became a Universalist minister and organized several societies in the vicinity. He was appointed to the Committee of the General Convention in Strafford, Vermont, in 1802. In 1803, Ferris attended the Winchester Convention in New Hampshire as a representative from Hinesburg, Vermont.

All three of Judson and Mabel Ruggles Canfield's daughters attended the Litchfield Female Academy. Julia Elvira (1791-1868) married Samuel Flewwelling of New York City, a prominent banker who purchased land in Ohio from Judson Canfield, members of his family, and others. Elizabeth Hannah (1793-1878) married Frederick Augustus Tallmadge (1784-1869) of Litchfield, son of Col. Benjamin Tallmadge. Frederick was a prominent lawyer in New York City and held elective office. Caroline Emma (1798-1872) married William Mackay of New York City, a New York City commission merchant. William Mackay and Julia Canfield Flewwelling were executors of Judson Canfield's will.",,,,,
"Emily Noyes Vanderpoel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samuel Fisher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abijah G. Benedict","Abijah Gilbert Benedict",,"Charlotte Newcomb Benedict","Male","Salem","NY","Pleasant Valley","NY","Litchfield Female Academy",,"1816 Nov 13",,,"Doctor",,"Red Hook","NY","1790 Nov 13","1862 Oct 4","Benjamin Benedict",,,"Farmer",,,"Abijah G. Benedict obtained a medical license in 1815 from the Dutchess County Medical Society.  Dr. James Down of Pleasant Valley served as his preceptor, and Benedict continued to work with him for the next three years.  He then removed to Red Hook where he remained for the rest of his life.  He was twice elected to the state legislature.  From Transactions of the New York State Medial Society ",,,,,
"John Cotton Smith",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Judah Champion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moses Seymour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Noah Webster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
