"Title","Main Image","Object ID#","Category","Student","Author/Creator","Date","Associated Place","Collection","Held At","Medium","Size","Description","Image Ready for Gibson"
"Dress",,"1966-01-156","Clothing & Personal Accessories","Jane Wadhams Stevens",,"ca. 1850",,,"Litchfield Historical Society ","cotton",,"Dress of lawn printed in paisley colors.  The bodice has a close, oval neckline with a wide cape collar front and back trimmed with a green, white and lavender woven fringe.  The sleeves are puffed with two rows of wide ruffles trimmed with fringe.  The waist is corded and the skirt is attached and gathered at waist but full and plain, bottom trimmed with lavender tape.  14 hooks and eyes down back and bodice lined.",
"Sleeves",,"1966-01-46","Clothing & Personal Accessories","Jane Wadhams Stevens",,"ca. 1850",,,"Litchfield Historical Society ","cotton","19"" diamter of top x 6"" diameter of cuff ","Pair of white cotton sleeves; gathered at cuff; bands at cuff for double button stud; cuff folds back; design of cuff is raised embroidery - 2 rows of circles with flowers in middle, dots beneath, scalloped edges; stamp ""Jane W. Stevens"" on both sleeves",
"Bookcase",,"1998-40-1","Furniture","Tapping Reeve",,"ca. 1800-1820","Litchfield, CT",,"Litchfield Historical Society ","wood, glass",,,
"Woman's Shoes",,"ca1890-02-19 a,b","Clothing & Personal Accessories","Caroline Canfield MacKay",,"ca. 1800-1820",,,"Litchfield Historical Society ","silk, leather, satin","9"" length x 2 1/2"" width","White satin shoes, slipper style; white ties; brown leather soles; square shaped toes; interior lined with linen and white leather; white silk tie on each side of shoe",
"Woman's Shoes",,"ca1890-02-20 a,b","Clothing & Personal Accessories","Caroline Canfield MacKay",,"ca. 1800-1820",,,"Litchfield Historical Society ","silk, leather, satin","9"" length x 2 1/2"" width","Twilled buff linen shoes, slipper style, with white satin bow, ties, and trim; brown leather soles with slight heel and rounded toe; heel lined with white leather; toe and inner sole lined with linen",
"Woman's Hat",,"ca1890-02-25","Clothing & Personal Accessories","Dorothy Deming",,"ca. 1800",,,"Litchfield Historical Society ","silk","12 1/2"" height x 10 1/2"" width x 13"" length","Oval frame with acordian shape (opening on top); brown silk with frayed fringe around face; two brown tie ribbons in front and on ribbon half way up on left side; dark brown stitches",
"Wedding Veil",,"ca1890-33-1","Clothing & Personal Accessories","Mary Peck Mansfield","Mary Peck Mansfield (1800-1837)",1827,,,"Litchfield Historical Society ","silk and cotton lace","61"" length x 36"" width","White silk lace wedding veil, drawn lace work flowers along edges, scalloped on three sides, draw string along top.",
"Tablecloth",,"ca1890-39-1","Household Accessories","Caroline Canfield MacKay","Caroline Canfield MacKay (1798-1872)","ca. 1817",,,"Litchfield Historical Society ","linen and silk","41"" length x 40"" width","Thin white linen table cover.  All four sides hemmed.  Border on all sides in silk embroidery.  Undulating line of vine with leaves in two shades of green.  Every (approximately) 4"" on vine is a floral cluster - design alternates between two different designs.  One - four small floral buds with brown and yellow leaves;  the other - one large flower in two shades of pink with two unopened buds on right side.",
"Petticoat Ruffle",,"ca1890-39-2","Clothing & Personal Accessories","Caroline Canfield MacKay","Caroline Canfield MacKay (1798-1872)","ca. 1850",,,"Litchfield Historical Society ","cotton and net","90"" round and 6 1/2"" height","Cambric ruffle with eyelet embroidered hem and band of net inserted embroidered flowers at top and bottom with small eyelet embroidery all over",
,,,,,,,,,,,,,
"White Lace Veil",,"1913-14-0","Clothing & Personal Accessories","Mary W. Smith","Mary W. Smith","ca. 1830",,,"Litchfield Historical Society ","lace","46"" length x 49"" width","White lace veil; heavily scalloped on three edges; three large floral medallions - generally diamond shaped; center plain with design contained to outer edges",
"Black lace Shawl",,"1921-03-13","Clothing & Personal Accessories","Elizabeth Canfield Tallmadge",,"ca. 1870",,,"Litchfield Historical Society ","lace","68"" length x 33"" width","Black lace shawl; 11"" ruffle sewn to 3 sides of shawl; embroidery and drawn work - design more abstract; all sides have a scalloped edge",
"Lace Veil",,"1926-01-5","Clothing & Personal Accessories","Lucretia Champion Bacon","Lucretia Champion Bacon (1783-1882)","ca. 1810-1830",,,"Litchfield Historical Society ","lace","46"" length x 44"" width","Green veil with drawstring along top edge; sold band around three sides; interior very gauzy with designs woven into silk; border design about 17"" high at bottom and about 4"" wide along sides; 1"" x 1 1/2"" approx figures in body of veil; very delicate fringe along bottom;",
"Stockings",,"1930-13-0 a,b","Clothing & Personal Accessories","Mary Pierce","Mary Pierce","ca. 1800","Litchfield, CT",,"Litchfield Historical Society ","silk","25 3/4"" length x 4 3/4"" width","Cream colored silk stockings; complex embroidery pattern of large diamonds from toes past two of ankles; ""MAP"" stitched into top of each stocking",
