id,name,unique_name,other_name,gender,room_and_board,home_town,home_state,home_country,born,died,other_education,admitted_to_bar,training_with_other_lawyers,federal_committees,state_committees,biographical_notes,citation_of_attendance,image_id,secondary_sources,additional_notes,private_notes,benevolent_and_charitable_organizations,quotes,political_parties,professions,residences,government_posts,marriages,LLS,LFA,materials,relations
11,Elijah Adams,,,M,,Litchfield,CT,United States,1771,"March 23, 1838",,"Connecticut in 1795, and in New York in 1807",,,,"Elijah Adams was the son of Andrew Adams and Eunice Adams of Litchfield, Connecticut. His father attended Yale College in 1760 and moved to Litchfield to practice Law in 1774. He later become the Justice of the Peace for Litchfield County, as well as Chief Justice of the Superior Court of Connecticut.     Elijah, the fifth of six children, pursued a legal career as well. He studied law at the Litchfield Law School in 1794 and was admitted to the Connecticut bar the following year. He remained in Litchfield to carry on his practice from 1799 to 1806. He then removed to Geneva, New York in 1806 and was admitted to the bar there in 1807. Elijah resided in New York state until his death on March 23, 1838 in Carmel, New York. ","'Moothall Society Record Books,' Litchfield Law School Collection Series 1, Subseries 3, Litchfield Historical Society.",,"NY Evening Post 28 March 1838.   Kilbourne, Dwight C. The Bench and Bar of Litchfield County, Connecticut 1709-1909. Litchfield, CT: Published by the Author, 1909. ","Elijah's wife, Minerva, died on July 1, 1800 at the age of eighteen, not long after their marriage.",,,,,Lawyer,Litchfield/CT/United States;Geneva/NY/United States;Carmel/NY/United States,,Minerva Adams/,1794,,Elijah Adams letter,
12,Minerva Adams,,,F,,,,,ca. 1782,"July 1, 1800",,,,,,,,,,,,,,,,,,,,,,
13,Andrew Adams,,,M,,Stratford,CT,United States,"January 7, 1736","November 26, 1797","Graduated from Yale College in 1760.   Studied law with his father, lawyer Samuel Adams.",,"Studied with his father, Samuel Adams.",Continental Congress (1778).,Prosecuting Attorney of Litchfield County (1772).  Connecticut Council for Safety.  Speaker of the Connecticut State House of Representatives (1779 and 1780).  ,"Andrew Adams was born in Stratford, Connecticut on January 7, 1736 to Samuel and Mary Fairchild Adams. As a young man he pursued preparatory studies before entering Yale College, where he graduated in 1760. Adams then entered into the study of law with his father, who was a practicing lawyer, and soon after was admitted to the Fairfield County Bar. He began his first legal practice in Stamford, Connecticut, and in 1772 was named prosecuting attorney for Litchfield County. In 1774 Adams moved to Litchfield, which remained his home for the rest of his lifetime. Adams also became very involved with local and state politics. He served as a member of the Connecticut Council for Safety for two years. At the outbreak of the Revolutionary War Adams joined the militia and with the rank of Colonel. From 1776 until 1781 he was a member of the Connecticut State House of Representatives. He served as Speaker of the House in 1779 and 1780. In 1778 he was a member of the Continental Congress and also served as a signer of the Articles of Confederation. In 1793 Adams was appointed Chief Justice of the Connecticut Supreme Court and served in that position until his death in Litchfield on November 26, 1797.  <br>During his time in Litchfield Adams was a member of St. Paul's Masonic Lodge, and also acted as Deacon of the First Church in Litchfield for a brief period of time. In 1761 Adams had married his wife Eunice. During their marriage the couple had six children.",,,,"Andrew Adams is buried in West Cemetery in Litchfield, Connecticut.",,,,Whig,Lawyer;Political Office,Stamford/CT/United States;Litchfield/CT/United States,State/State Representative//Connecticut;State/Chief Justice/of the Connecticut Supreme Court/,Eunice Adams/1761,,,Jonathan Trumbull Letter,
14,Eunice Adams,,,F,,,,,,,,,,,,"Eunice Adams was the wife of Andrew Adams, Esq. of Litchfield, Connecticut. The couple, who were married in 1761, had six children during their marriage. ",,,,,,,,,,Litchfield/CT/United States,,,,,,
15,John Frink Adams,,,M,,Leicester,MA,United States,"November 3, 1799","May 10, 1883",Attended Dartmouth College in 1817.,New York in 1823,,,,"John Frink Adams was the son of Ebenezer and Alice Frink Adams. After attending Dartmouth College in 1817, John worked as an educator for several years. He taught for a year at Leicester Academy followed by three years in Cumberland County, Virginia. Adams then attended the Litchfield Law School in 1823. In that same year, he was admitted to the bar in New York and practiced law in Watertown, NY until 1825. In 1826 he moved to Lyme, New Hampshire where he spent a year, then relocated to Mobile, Alabama where he practiced law for the next twenty-six years.     While living in Mobile, Adams married Elizabeth Lovell Walker of Leominster, Alabama, who's father, Lovell Walker, was a fellow alumnae of Dartmouth College. In 1853, John moved to Washington, D.C. where he worked as a clerk in the United States Pension Office and later as a clerk in the United States Land Office. John Frank Adams died at the age of sixty, in 1883, in Baltimore, Maryland.","Litchfield Eagle, October 6, 1823; Catalogue of the Litchfield Law School (Hartford, CT: Press of Case, Tiffany and Company, 1849), 18.",,,,,,"'Mr. Reynolds and Mr. Adams return thanks to Misses Lewis for their politeness & will do themselves the pleasure to see them at tea this evening.' January 14, 1823    Mary Ann Lewis Collection, Folder #5, ca. 1818-1823  ",,Educator;Lawyer;Political Office,Watertown/NY/United States;Lyme/NH/United States;Cumberland County/VA/United States;Mobile/AL/United States;Washington/District of Columbia/United States;Baltimore/MD/United States,Federal/Clerk/of the U.S. Pension Office/;Federal/Clerk/of the U.S. Land Office/,"Elizabeth Walker Adams/July 2, 1835",1822,,Mary Ann Lewis papers,
16,Elizabeth Walker Adams,,,F,,Leominster,MA,United States,,,,,,,,,,,,,,,,,,,,,,,,
17,Ebenezer Adams,,,M,,,,,"October 2, 1765","August 15, 1841",,,,,,,,,,,,,,,Educator,,,,,,,
18,Alice Frink Adams,,,F,,,,,,before 1807,,,,,,,,,,,,,,,,,,,,,,
19,John Turvill Adams,,,M,,Demerara,,British Guiana,"September 29, 1805","March 30, 1882",Attended Yale College in 1824.,Connecticut in 1834,,,,"John Turvill Adams was the son of Richard Adams of England. He was born in Demerara, British Guiana. His family moved to Norwich, Connecticut in 1810.     Adams attended Yale College in 1824 and then worked as a merchant in New York City from 1825 to 1828. From 1828 to 1833 he served as the editor of the <I>Norwich Republican.</I> He attended the Litchfield Law School in 1833 and passed the bar in 1834. He then went on to practice law in Cass County, Michigan from 1836 to 1838, and then in Harrisburgh, Pennsylvania from 1840 until 1844. John returned to Norwich, Connecticut in 1844 and established a law practice there. During his life, Adams also worked as an author and a politician. He wrote <I>The Lost Hunter and Other Tales</I> and served first in the Connecticut State House of Representatives from 1860 to 1863 and the Connecticut State Senate in 1864.     Adams first married Hannah Huntington, the daughter of Joseph Huntington of Norwich. His second wife, Elizabeth was the daughter of Benjamin Lee of Norwich. He died at home in Norwich, Connecticut in 1882.","<I>Catalogue of the Litchfield Law School</I> (Hartford, CT: Press of Case, Tiffany and Company, 1848), 24.",,"Yale College. <I>Biographical Sketches of the Class of 1824: Compiled from Authentic Documents, and Published for the benefit of the members.</I> Norwalk, CT: A.H. Byington, Printer, 1855. ",,,,,,Business;Editor;Political Office,Norwich/CT/United States;Cass County/MI/United States;Harrisburgh/PA/United States,State/Judge/of Probate/MI;State/State Representative//CT;State/State Senator//CT,"Hannah Huntington Adams/December 20, 1826;Elizabeth Dwight Adams/September 7, 1839",1833,,,
20,Hannah Huntington Adams,,,F,,Norwich,CT,United States,,,,,,,,,,,,,,,,,,,,,,,,
21,Elizabeth Dwight Adams,,,F,,Norwich,CT,United States,,,,,,,,,,,,,,,,,,,,,,,,
22,Richard Adams,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Joseph Thornton Adams,,,M,,Roxbury,MA,United States,"June 15, 1796","February 26, 1878",Received his Bachelors Degree from Harvard College in 1820 and his Masters Degree in 1823. ,1820,,,,"Joseph Thornton Adams was born in 1796 to Joseph and Mary Fosdick Adams in Roxbury, MA. He received a bachelor's degree from Harvard College in 1820, and attended the Litchfield Law School the same year. He then received his master's degree from Harvard in 1823.     During his time at Harvard, Adams was reportedly punished for several offenses. He was suspended and sent to Rev. Mr. White at Dedham, Massachusetts for instruction for the firing of a pistol. He was later readmitted to Harvard and granted leave to teach school, but was then fined for a festive entertainment at Porter's Tavern.     After completing his studies, Adams served as an editor at the <I>Boston Sentinel</I>, a collector at the Port of New Bedford, Massachusetts and, for the last twenty years of his life, he worked as a clerk in the United States Treasury Department.     In 1830 he married Susan Jarvis of Claremont, New Hampshire. ","<I>Catalogue of the Litchfield Law School</I> (Hartford, CT: Press of Case, Tiffany and Company, 1849), 17.",,,,,,,,Editor,Boston/MA/United States;New Bedford/MA/United States;Washington/District of Columbia/United States,,"Susan Jarvis Adams/August 30, 1830",1820,,,
24,Susan Jarvis Adams,,,F,,Clermont,NH,United States,,,,,,,,,,,,,,,,,,,,,,,,
25,Joseph Adams,,,M,,Roxbury,MA,United States,"May 11, 1750",1856,,,,,,"Joseph Adams, son of Rev. Amos Adams and Elizabeth Prentice Adams, was born on May 11, 1750 in Roxbury, Massachusetts. In January of 1792 Joseph married Deborah Marsh, and the couple had several children. Professionally he worked as a lawyer throughout his life, and also served as a trustee of the Litchfield Female Academy.",,,,,,,,,Lawyer,Litchfield/CT/United States,,"Deborah Marsh Adams/January 26, 1792",,,Litchfield County judicial records,
26,Mary Fosdick Adams,,,F,,,,,1725,,,,,,,,,,,,,,,,,,,,,,,
27,Rufus Adams,,,M,,Canterbury,CT,United States,"May 6, 1774","December 21, 1840",Attended Yale College in 1795.,,,,,"Rufus Adams was the son of Nathan and Phebe Ensworth Adams. He attended Yale College in 1795 and then studied at the Litchfield Law School in 1796. Adams then launched a lengthy political career serving thirteen times in the Connecticut State House of Representatives between 1805 and 1827. He married Joanna Byers of Springfirled, Massachusetts on November 26, 1807. He died in Canterbury, Connecticut at the age of sixty-six. ","<I>Moothall Society Record Books</I>, Litchfield Law School Collection, Series 1, Subseries 3, Litchfield Historical Society Helga J. Ingraham Memorial Library.",,,,,,,,Political Office,,State/State Representative//CT,"Joanna Byers Adams/November 26, 1807",1796,,,
28,Joanna Byers Adams,,,F,,Springfield,MA,United States,,,,,,,,,,,,,,,,,,,,,,,,
29,Nathan Adams,,,M,,,,,"December 22, 1748",,,,,,,,,,,,,,,,,,,,,,,
30,Phebe Ensworth Adams,,,F,,,,,1749,,,,,,,,,,,,,,,,,,,,,,,
31,Charles Aiken,,,M,,Bedford,NH,United States,"March 2, 1802","May 5, 1894",Attended Exeter in 1825.,,,,,"Charles Aiken was born in 1802 in Bedford, New Hampshire to Phineas and Elizabeth Patterson Aiken. The son of a politician, Charles was sent to study at Exeter in 1825, and then attended the Litchfield Law School in 1832. In 1839 Charles married Adeline Willey. They settled in Wrights, CA where Charles carried on a long law practice. In 1894, at the age of ninety-two, Charles Aiken passed away. ",[We are currently working to update and confirm citations of attendance.],,"<I>History of Bedford New Hampshire From 1737</>. Concord, NH: The Rumford Printing Company, 1903.",,,,,,Lawyer,Wrights/CA/United States,,"Adeline Willey Aiken/May 2, 1839",1832,,,
32,Adeline Willey Aiken,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Phineas Aiken,,,M,,,,,"December 16, 1761","April 11, 1886",,,,,,,,,,,,,,,Military;Political Office,,,,,,,
34,Elizabeth Patterson Aiken,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,John Adams Albro,,,M,,Newport,RI,United States,"August 13, 1799","December 20, 1866",Attended Andover Theological Seminary in 1827.,1821,,,,"John Adams Albro was born in Newport, Rhode Island. He attended the Litchfield Law School in 1821 and was admitted to the bar the same year.     In 1827, after working for several years as an attorney in Windham County, Connecticut, Albro went to study at the Andover Theological Seminary to become a minister. He was ordained on November 21, 1827 and spent the rest of his life as a minister.     Albro spent the years 1827-1833 in Chelmsford, Massachusetts. In 1828 Albro married Elizabeth Salter of Mansfield, Connecticut. They spent the next two years in the town of Fitchburg, Massachusetts.     The Albro's settled in Cambridge, MA in 1835 where John began preaching at the church he would head for the next thirty years. John Adams Albro died in 1866 in West Roxbury, Massachusetts. ","Litchfield Eagle, October 7, 1822.; Catalogue of the Litchfield Law School (Hartford, CT: Press of Case, Tiffany and Company, 1849), 17.",,"Paige, Lucius Robinson, <I>History of Cambridge, Massachusetts</I>. 1630-1877. Boston: H.O. Houghton and Company, 1877.",,,,,,Lawyer;Religious Calling,Windham County/CT/United States;Chelmsford/MA/United States;Fitchburg/MA/United States;Cambridge/MA/United States,,"Elizabeth Salter Albro/August 20, 1828",1821,,,
36,Elizabeth Salter Albro,,,F,,Mansfield,CT,United States,,,,,,,,,,,,,,,,,,,,,,,,
37,Cyrus Alden,,,M,,Bridgewater,MA,United States,"May 20, 1787","March 29, 1855",Attended Brown University in 1807.,Massachusetts in 1810,"After attending the Litchfield Law School Alden studied law with Judge Rice in Litchfield, CT and later with Judge William Baylies of West Bridgewater, CT. ",,,"Cyrus Alden was the son of Captain Joseph Alden and Bethiah Carver. He was born in Bridgewater, Massachusetts, the fifth of nine children.     Alden graduated from Brown University in 1807 and attended the Litchfield Law School in 1808. After completing his studies in Litchfield, he read the law with Judge Rice in Litchfield and later with Judge William Baylies of West Bridgewater, Massachusetts.     Following his admission to the Massachusetts bar in 1810, Alden began his legal practice in Wrentham, Massachusetts. He remained there for six years before moving to Boston, where he continued to practice law until 1822. At that time, Alden left Boston to pursue a legal practice in Fall River, Massachusetts.     In addition to his legal career, Alden also pursued literary and political interests. In 1819, he published 'Abridgement of Law with Practical Forms', which was comprised of over 800 pages and eight volumes. He also served as a Representative to the General Court representing Fall River. Alden married Mary Margaret Jones of Providence, Rhode Island in 1813 and they had eight children. He died on March 29, 1855 a the age of forty-seven. ","Catalogue of the Litchfield Law School (Hartford, CT: Press of Case, Tiffany, and Company, 1849), 7.",,"Alden, M.D., Ebenezer. <I>Memorial of the Descendants of Hon. John Alden.</I> Randolph, MA: Samuel P. Brown, 1867.    Hurd, D. Hamilton. <I>History of Norfolk County, Massachusetts with Biographical Sketches of Many of its Pioneers and Prominent Men.</I> Philadelphia, PA: J.W. Lewis & Co., 1884.",,"Edited by LMH 12/22/10, e-mailed Fall River HS to ask about image/ other info- their archives are in storage during a renovation, asked us to contact them in the spring.",,"'I think I never was in a more agreeable, pleasant Country Village in all my travels.  The advantages here to acquire a knowledge of the Law are very great.  I think I shall acquire more Law information here in six months than I did all the last year.  Judge Reeve, who deliveres the lectures, is a very pleasant, agreeable, communicative man.  It is said that there never was a student here but what loved him.'  Cyrus Alden to Thomas Alden, September 25, 1808 (LHS)",,Lawyer;Political Office,Wrentham/MA/United States;Boston/MA/United States;Fall River/MA/United States,State/State Representative//MA,"Mary Jones Alden/May 24, 1813",1808,,Cyrus Alden Letter,
38,Mary Jones Alden,,Mary Margaret Jones,F,,Charleston,SC,United States,"January 30, 1795","April 14, 1879",,,,,,,,,"Jones Family genealogy, http://www.whittaker.org/bob/Genealogy/Jones.pdf",,,,,,,Providence/RI/United States,,,,,,
39,Joseph Alden,,,M,,,,,1747,"April 8, 1803",,,,,,,,,,,,,,,Military,,,,,,,
40,Bethiah Carver Alden,,,F,,,,,1755,1821,,,,,,,,,,,,,,,,,,,,,,
41,Hiram Orlando Alden,,,M,,Claremont,NH,United States,"February 9, 1800","April 15, 1882","Attended Dartmouth College from 1819 to 1821, and Union College from 1821 to 1823.","Alabama in 1824, and in Maine in 1826",,,,"Hiram Orlando Alden was the son of Colonel Joseph Alden and Lucy Warner Alden. He was born in Claremont, New Hampshire. In 1819, Alden entered Dartmouth College but left in 1821 to attend Union College where he graduated in 1823. He then attended the Litchfield Law School in 1823 and 1824. He passed the bar in Hutsville, Alabama in 1824 and then again in 1826 in Castine, Maine. From 1827 until 1830 he served as the editor of the Waldo Democrat and Republican Journal. He also worked as the First Cashier of the Waldo Bank in 1834. He then settled in Belfast, Maine to practice law, and from 1836-1849 was the partner of the Hon. William Crosby. From 1830 to 1841, he also served as the Postmaster of Belfast. Alden retired from the law in 1849 and became the President of the Bank of Commerce in 1854, and in 1858 was President of the Belfast Gas Company. Alden was an early promoter of the telegraph and from 1848 to 1876 was the President of the Maine Telegraph Company and served as a Vice President of the American Telegraph Company. He also invested in land speculation in Illinois. Alden married Emily Bingham of Claremont, New Hampshire and they had three sons and two daughters. He died at the age of eighty-two. ","<I>Litchfield Eagle</I>, October 6, 1823    <I>Catalogue of the Litchfield Law School</I> (Hartford, CT: Press of Case, Tiffany and Company, 1849), 19. ",,"Alden, M.D., Ebenezer. <I>Memorial of the Descendants of Hon. John Alden</I>. Randolph, MA: Samuel P. Brown, 1867;     Reid, James D. <I>The Telegraph in America: Its Founders, Promoters, and Noted Men</I>. Arno Press, 1974. ",,"edited 12/22/2010 LMH, papers at Maine HS, e-mailed to request inventory and information about any artifacts.",,,,Editor;Business;Lawyer;Political Office,Huntsville/AL/United States;Castine/ME/United States;Belfast/ME/United States,"Local/Postmaster//Belfast, ME",Emily Bingham Alden/,1823,,,
42,Emily Bingham Alden,,,F,,Claremont,NH,United States,,"February 10, 1871",,,,,,,,,,,,,,,,,,,,,,
43,Lucy Warner Alden,,,F,,,,,"February 9, 1772","December 9, 1849",,,,,,,,,,,,,,,,,,,,,,
44,Alexander Maben Allen,,,M,,Wilkes County,GA,United States,"July 27, 1816","May 1, 1887",,,,,,"Alexander M. Allen was the son of Samuel Allen and Susan Ruff Allen. He attended the Litchfield Law School in 1801, and in 1810 married Mary Jones. In 1811, and then again between the years of 1813 and 1816, Allen was the Attorney General for the state of Georgia. From 1818 to 1821 Allen was the Solicitor General of the Middle Circuit of Georgia as well as a member of the Georgia State House of Representatives. He died sometime after 1848. ","<I>Catalogue of the Litchfield Law School </I>(Hartford, CT: Press of Case, Tiffany, and Company, 1849), 4.",,,,,,,,Lawyer;Political Office,/GA/United States,State/Attorney General//GA;State/Solicitor General/of the Middle Circuit of GA/GA;State/State Representative//GA,Mary Jones Allen/1810,1801,,,
45,Mary Jones Allen,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Samuel Allen,,,M,,,,,"October 11, 1764","March 11, 1830",,,,,,,,,,,,,,,,,,,,,,
47,Susan Ruff Allen,,,F,,,,,1781 or 1782,,,,,,,,,,,,,,,,,,,,,,,
48,John Allen,,,M,,Great Barrington,MA,United States,"June 12, 1763","July 31, 1811",,Connecticut ca. 1786,,,,"John Allen was the only son of a joiner (furniture maker) from Great Barrington, Massachusetts. His only other sibling, a sister, married Elizur Goodrich of New Haven, Connecticut. John Allen only had a common education before attending the Litchfield Law School, but still worked as a teacher for several years. As a minor, he taught younger children in a noted establishment in Germantown, Pennsylvania. Allen then taught at New Milford, Connecticut for six months. He was admitted to the bar after attending the Litchfield Law School from 1784 until 1786. From 1793 to 1796, Allen represented Litchfield in the Connecticut General Assembly as a State Representative. In 1797, he was elected to the fifth U.S. Congress at the age of thirty-five. During his time in the House, he was an avid proponent of the Alien and Sedition Acts.     After serving his first term however, Allen declined any further election to Congress. In 1800, he was elected Assistant Judge to the Connecticut Supreme Court of Errors and was subsequently re-elected for the next five years. His wife, Ursula McCurdy, was a graduate of the Litchfield Female Academy and the daughter of Lyne and Ursula McCurdy of Norwich, Connecticut. During their marriage, John and Ursula had one son and one daughter. Their son, John Allen, became a U.S. Congressman from Cleveland, Ohio and married Litchfield Female Academy student Anna M. Perkins.",[We are currently working to update and confirm citations of attendance.],,"Boardman, David Sherman. <I>Sketches of the Early Lights of the Litchfield Bar</I>. J. Humphrey, Jr., 1860.",,,,,Federalist,Lawyer;Political Office,Germantown/PA/United States;New Milford/CT/United States;Litchfield/CT/United States,Federal/U.S. Representative//CT;State/State Representative//CT;State/Judge/to the Supreme Court of Errors/CT;State/Clerk/of the State House of Representatives/CT,Ursula McCurdy Allen/1801,1784,,,
49,Ursula McCurdy Allen,,Ursual McCurdy,F,,Norwich,CT,United States,,,,,,,,"Ursula McCurdy, daughter of Lynde McCurdy, is believed to have attended the Litchfield Female Academy. Ursual was married to John Allen, a 1784 student of the Litchfield Law School, and later a United States Congressman. ",&nbsp;,,,,,,,,,Great Barrington/MA/United States,,,,1800,,
50,Zimri Enos Allen,,,M,,Colchester,VT,United States,1792,"August 22, 1813",Attended Vermont University. ,,"He read the law with Hon. Charles Marsh of Woodstock, VT.",,,"Zimri Enos Allen was the son of Major General Ira Allen and Jerusa Hayden Enos. General Ira Allen fought in the Revolutionary War with his brother Ethan Allen and the Green Mountain Boys, and later helped to establish the city of Colchester, Vermont. Zimri pursued his studies at Vermont University, but did not complete a degree there. Allen attended the Litchfield Law School in 1811 and died an early death two years later at the age of twenty one. ","Bond, William Key. <I>Lectures on law by the Honable. Tapping Reeve and James Gould esquire at Litchfield, Connecticut, An. Dom: 1811 & 1812</I> Rare Book Collection, Lillian Goldman Law Library, Yale University.    <I>Litchfield County Bar Association Records</I>, 1811, Litchfield Historical Society, Helga J. Ingraham Memorial Library.    <I>Catalogue of the Litchfield Law School</I>, Hartford, CT: Press of Case, Tiffany and Company, 1849, 10.",,"Allen, Orrin Peer. <I>The Allen Memorial</I>. Palmer, MA: Published by the author, 1907. ",,,,,,,,,,1811,,,
51,Ira Allen,,,M,,,,,"April 21, 1751","January 15, 1814",,,,,,,,,,,,,,,Military;Political Office,,,,,,,
52,Jerusha Enos Allen,,,F,,,,,"February 6, 1764",1838,,,,,,,,,,,,,,,,,,,,,,
53,Joseph Tyler Allyn,,,M,,Montgomery,MD,United States,May 1795,"July 9, 1862",,,,,,"Joseph Tyler Allyn was the son of David Allyn and Desire Tyler. He attended the Litchfield Law School in 1821, and that same year he married Elizabeth Avery of Montgomery, Massachusetts. The Allyns moved to Norfolk, Virginia where Joseph was a hardware merchant and a Director of the Franklin Savings Bank. He was also a member of the Norfolk City Council. Although they resided in the South, Joseph bought his wife's family home in Montgomery, Massachusetts and used it as a summer home. Joseph died in Norfolk, Virginia on July 9, 1862. ","Litchfield Eagle, October 7, 1822.; Catalogue of the Litchfield Law School (Hartford, CT: Press of Case, Tiffany and Company, 1849), 18.",,"<I>New Connecticut: an autobiographical poem</I> By Amos Bronson Alcott, edited by Franklin Benjamin Sanborn, Boston: Roberts Brothers 1887 contains accounts of doing business with Allyn.  Alcott lost a significant amount of property by going into debt to Allyn.",,,,,,Business;Political Office,Norfolk/VA/United States,"Local/City Council//Norfolk, VA",Elizabeth Avery Allyn/1822 Apr 25,1821,,,
